subject,type,label
http://purl.obolibrary.org/obo/OBI_0002272,http://www.w3.org/2002/07/owl#NamedIndividual,pN1 (colon)
http://purl.obolibrary.org/obo/OBI_0002273,http://purl.obolibrary.org/obo/OBI_0002270,pN1a (colon)
http://purl.obolibrary.org/obo/OBI_0002273,http://www.w3.org/2002/07/owl#NamedIndividual,pN1a (colon)
http://purl.obolibrary.org/obo/OBI_0002274,http://purl.obolibrary.org/obo/OBI_0002270,pN1b (colon)
http://purl.obolibrary.org/obo/OBI_0002274,http://www.w3.org/2002/07/owl#NamedIndividual,pN1b (colon)
http://purl.obolibrary.org/obo/OBI_0002275,http://purl.obolibrary.org/obo/OBI_0002270,pN1c (colon)
http://purl.obolibrary.org/obo/OBI_0002275,http://www.w3.org/2002/07/owl#NamedIndividual,pN1c (colon)
http://purl.obolibrary.org/obo/OBI_0002276,http://purl.obolibrary.org/obo/OBI_0002270,pN2 (colon)
http://purl.obolibrary.org/obo/OBI_0002276,http://www.w3.org/2002/07/owl#NamedIndividual,pN2 (colon)
http://purl.obolibrary.org/obo/OBI_0002277,http://purl.obolibrary.org/obo/OBI_0002270,pN2a (colon)
http://purl.obolibrary.org/obo/OBI_0002277,http://www.w3.org/2002/07/owl#NamedIndividual,pN2a (colon)
http://purl.obolibrary.org/obo/OBI_0002278,http://purl.obolibrary.org/obo/OBI_0002270,pN2b (colon)
http://purl.obolibrary.org/obo/OBI_0002278,http://www.w3.org/2002/07/owl#NamedIndividual,pN2b (colon)
http://purl.obolibrary.org/obo/OBI_0002279,http://www.w3.org/2002/07/owl#Class,pathologic lymph node stage for lung according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002280,http://purl.obolibrary.org/obo/OBI_0002279,pN0 (lung)
http://purl.obolibrary.org/obo/OBI_0002280,http://www.w3.org/2002/07/owl#NamedIndividual,pN0 (lung)
http://purl.obolibrary.org/obo/OBI_0002281,http://purl.obolibrary.org/obo/OBI_0002279,pN1 (lung)
http://purl.obolibrary.org/obo/OBI_0002281,http://www.w3.org/2002/07/owl#NamedIndividual,pN1 (lung)
